Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for (years)?,Hardest V Grade ever climbed ,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,General Strength Training frequency per week ,Time spent General strength training per week (hours),Max pull up reps,Max push ups reps,BMI,APE,Pullup ratio,top_or_bottom
1,179.0,87.0,186.0,9,1,3,6,3,0,0,2,2,3,10,12,27.15271058955713,1.0391061452513966,1.1149425287356323,Bottom
1,166.0,53.0,160.0,3,5,3,5,3,1,1,0,1,1,10,15,19.233560749020178,0.963855421686747,1.1886792452830188,Bottom
1,182.0,65.0,190.0,12,9,1,4,0,0,0,0,0,0,20,40,19.623233908948194,1.043956043956044,1.3076923076923077,Top
1,168.0,65.0,190.0,4,5,3,14,2,3,1,1,2,2,15,30,23.030045351473927,1.130952380952381,1.2307692307692308,Bottom
1,176.0,81.0,178.0,16,11,3,4,3,1,1,1,2,1,15,40,26.149276859504134,1.0113636363636365,1.1851851851851851,Top
0,165.0,53.5,172.0,9,5,2,5,5,1,1,0,2,4,12,15,19.65105601469238,1.0424242424242425,1.2242990654205608,Bottom
1,188.0,75.0,193.0,16,7,4,4,4,0,0,2,2,2,16,30,21.22000905387053,1.0265957446808511,1.2133333333333334,Bottom
0,178.0,66.0,178.0,1,4,6,20,10,0,0,0,5,5,4,3,20.830703194041156,1.0,1.0606060606060606,Bottom
1,185.0,72.5,185.0,4,4,3,6,2,0,0,1,3,1,15,40,21.18334550766983,1.0,1.206896551724138,Bottom
1,183.0,69.0,176.0,16,5,2,10,3,0,0,0,2,1,15,35,20.603780345785182,0.9617486338797814,1.2173913043478262,Bottom
1,184.0,68.0,179.0,16,9,3,6,6,1,1,0,1,1,20,20,20.085066162570886,0.9728260869565217,1.2941176470588236,Top
1,180.0,79.0,183.0,6,8,3,9,2,0,0,1,1,1,20,50,24.382716049382715,1.0166666666666666,1.2531645569620253,Top
1,178.0,65.0,178.0,4,6,3,9,1,0,0,1,0,0,12,100,20.515086478979924,1.0,1.1846153846153846,Bottom
1,179.0,68.0,179.0,5,0,4,14,0,0,0,0,1,1,7,30,21.22280827689523,1.0,1.1029411764705883,
1,177.0,73.0,183.0,15,11,4,12,4,2,1,0,3,2,20,40,23.301094832264035,1.0338983050847457,1.273972602739726,Top
1,183.0,73.0,192.0,5,4,1,4,3,0,0,0,2,4,20,20,21.798202394816204,1.0491803278688525,1.273972602739726,Bottom
1,173.0,67.0,173.0,5,5,3,6,4,0,0,0,2,3,15,0,22.386314277122523,1.0,1.2238805970149254,Bottom
1,180.0,63.0,184.0,4,9,0,0,0,0,0,1,2,1,8,30,19.444444444444443,1.0222222222222221,1.126984126984127,Top
1,188.0,77.0,188.0,10,6,3,9,1,1,1,0,1,1,14,30,21.785875961973744,1.0,1.1818181818181819,Bottom
1,193.0,88.0,198.0,16,4,3,8,2,0,0,1,2,2,11,28,23.624795296518027,1.0259067357512954,1.125,Bottom
0,170.0,55.0,170.0,1,3,3,4,1,0,0,1,1,2,8,30,19.031141868512112,1.0,1.1454545454545455,Bottom
