sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
1,0,6,16.0,24.0,182.88,73.481904,185.42000000000000
0,0,6,10.0,12.0,167.64000000000000,54.431040000000000,170.18
1,6,1,11.0,20.0,182.88,79.3786,182.88
1,0,4,16.0,24.0,182.88,79.3786,187.96
1,5,4,14.0,27.0,175.26,65.77084000000000,187.96
0,6,5,15.0,25.0,152.4,48.534344,153.67000000000000
0,5,4,3.0,14.0,170.18,62.595696,172.72
0,6,5,10.0,20.0,153.67000000000000,43.998424,153.67000000000000
1,0,1,9.0,20.0,177.8,32.658624,172.72
1,9,3,15.0,28.0,187.96,84.821704,193.04
0,0,6,3.0,16.0,157.48,54.431040000000000,165.1
1,4,1,12.0,20.0,170.18,81.64656,176.784
1,3,3,14.0,30.0,177.8,72.57472,177.8
1,1,2,12.0,35.0,170.18,73.028312,177.8
0,9,6,14.0,33.0,157.48,56.245408,157.48
1,6,6,18.0,40.0,175.26,75.296272,176.53
0,5,3,7.0,16.0,154.94,63.956472,160.02
0,0,2,8.0,9.0,170.18,63.50288,175.26
0,0,2,7.0,23.0,165.1,54.431040000000000,165.1
1,0,6,14.0,43.0,172.72,74.389088,182.88
1,8,4,11.0,35.0,172.72,86.18248,184.15
0,4,4,4.0,24.0,167.64000000000000,56.699,173.99
1,7,4,11.0,20.0,170.18,72.57472,180.34
1,1,4,11.0,45.0,180.34,98.883056,177.8
1,6,1,18.0,35.0,187.96,84.368112,187.96
0,3,3,5.0,7.0,153.67000000000000,49.89512,154.94
0,6,6,15.0,25.0,157.48,59.874144,167.64000000000000
0,0,5,16.0,30.0,157.48,47.627160000000000,157.48
0,0,0,10.0,35.0,157.48,56.699,129.54
1,3,3,20.0,55.0,185.42000000000000,84.821704,182.88
0,6,2,9.0,14.0,163.83,62.595696,165.1
0,7,4,18.0,10.0,160.02,52.616672,160.02
1,0,6,8.0,20.0,185.42000000000000,85.275296,190.5
1,7,6,34.0,35.0,177.8,67.585208,175.26
0,6,3,20.0,38.0,160.02,55.791816,157.48
